concept_id,atc_class,route,name,concept_name
46275323,antipsych,PO,brexpiprazole,brexpiprazole 3 MG Oral Tablet [Rexulti]
46275325,antipsych,PO,brexpiprazole,brexpiprazole 4 MG Oral Tablet
46275327,antipsych,PO,brexpiprazole,brexpiprazole 4 MG Oral Tablet [Rexulti]
35603277,antipsych,PO,cariprazine,cariprazine
35603280,antipsych,PO,cariprazine,cariprazine 1.5 MG Oral Capsule
35603284,antipsych,PO,cariprazine,cariprazine 1.5 MG Oral Capsule [Vraylar]
35603286,antipsych,PO,cariprazine,cariprazine 3 MG Oral Capsule
35603288,antipsych,PO,cariprazine,cariprazine 3 MG Oral Capsule [Vraylar]
35603290,antipsych,PO,cariprazine,cariprazine 4.5 MG Oral Capsule
35603292,antipsych,PO,cariprazine,cariprazine 4.5 MG Oral Capsule [Vraylar]
35603294,antipsych,PO,cariprazine,cariprazine 6 MG Oral Capsule
35603296,antipsych,PO,cariprazine,cariprazine 6 MG Oral Capsule [Vraylar]
794852,antipsych,PO,chlorpromazine,chlorpromazine
40179619,antipsych,PO,chlorpromazine,chlorpromazine 25 MG
40179622,antipsych,PO,chlorpromazine,chlorpromazine 25 MG [Thorazine]
41086893,antipsych,IV,chlorpromazine,Chlorpromazine 50 MG Injectable Solution
40179633,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 10 MG
40179637,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 10 MG [Thorazine]
40179635,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 10 MG Oral Tablet
40179636,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 10 MG Oral Tablet [Thorazine]
40179642,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 100 MG Oral Tablet
40179655,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 100 MG Oral Tablet [Thorazine]
40179658,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 100 MG/ML Oral Solution
40179675,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 200 MG Oral Tablet
40179676,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 200 MG Oral Tablet [Thorazine]
40179678,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 25 MG
40179680,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 25 MG Oral Tablet
40179681,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 25 MG Oral Tablet [Thorazine]
35605390,antipsych,IV,chlorpromazine,chlorpromazine hydrochloride 25 MG/ML Injection
40179690,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 30 MG Extended Release Oral Capsule
40179694,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 30 MG/ML Oral Solution
40179698,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 300 MG Extended Release Oral Capsule
40179703,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 50 MG Oral Tablet
40179704,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 50 MG Oral Tablet [Thorazine]
40179706,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 75 MG
40179707,antipsych,PO,chlorpromazine,chlorpromazine hydrochloride 75 MG Extended Release Oral Capsule
40030426,antipsych,PO,chlorpromazine,chlorpromazine Oral Solution [Thorazine]
800878,antipsych,PO,clozapine,clozapine
800933,antipsych,PO,clozapine,clozapine 100 MG Disintegrating Oral Tablet
800935,antipsych,PO,clozapine,clozapine 100 MG Disintegrating Oral Tablet [Fazaclo]
800881,antipsych,PO,clozapine,clozapine 100 MG Oral Tablet
19004691,antipsych,PO,clozapine,clozapine 100 MG Oral Tablet [Clozaril]
19099849,antipsych,PO,clozapine,clozapine 100 MG Oral Tablet [Ivax brand of clozapine]
800937,antipsych,PO,clozapine,clozapine 12.5 MG Disintegrating Oral Tablet
40224293,antipsych,PO,clozapine,clozapine 150 MG Disintegrating Oral Tablet
40223451,antipsych,PO,clozapine,clozapine 200 MG Disintegrating Oral Tablet [Fazaclo]
19075608,antipsych,PO,clozapine,clozapine 200 MG Oral Tablet
37498338,antipsych,PO,clozapine,clozapine 200 MG Oral Tablet [Clozaril]
800934,antipsych,PO,clozapine,clozapine 25 MG Disintegrating Oral Tablet
19114105,antipsych,PO,clozapine,clozapine 25 MG Disintegrating Oral Tablet [Fazaclo]
800892,antipsych,PO,clozapine,clozapine 25 MG Oral Tablet
19004670,antipsych,PO,clozapine,clozapine 25 MG Oral Tablet [Clozaril]
19099417,antipsych,PO,clozapine,clozapine 25 MG Oral Tablet [Ivax brand of clozapine]
800921,antipsych,PO,clozapine,clozapine 50 MG Oral Tablet
37498340,antipsych,PO,clozapine,clozapine 50 MG Oral Tablet [Clozaril]
739323,antipsych,PO,droperidol,droperidol
40033032,antipsych,IV,droperidol,droperidol / fentanyl Injectable Solution
739362,antipsych,PO,droperidol,droperidol 1 MG/ML
739330,antipsych,PO,droperidol,droperidol 2.5 MG/ML
19029880,antipsych,IV,droperidol,droperidol 2.5 MG/ML / fentanyl 0.05 MG/ML Injectable Solution [Innovar]
44086502,antipsych,IV,droperidol,Droperidol 2.5 MG/ML Injectable Solution [Inapsine]
35866135,antipsych,PO,droperidol,droperidol 5 MG
35606381,antipsych,IV,droperidol,droperidol Injection
19102553,antipsych,PO,olanzapine,fluoxetine 25 MG / olanzapine 12 MG Oral Capsule
755855,antipsych,PO,olanzapine,fluoxetine 25 MG / olanzapine 3 MG Oral Capsule
19127046,antipsych,PO,olanzapine,fluoxetine 25 MG / olanzapine 3 MG Oral Capsule [Symbyax]
19102552,antipsych,PO,olanzapine,fluoxetine 25 MG / olanzapine 6 MG Oral Capsule
19127038,antipsych,PO,olanzapine,fluoxetine 25 MG / olanzapine 6 MG Oral Capsule [Symbyax]
19102554,antipsych,PO,olanzapine,fluoxetine 50 MG / olanzapine 12 MG Oral Capsule
19127040,antipsych,PO,olanzapine,fluoxetine 50 MG / olanzapine 12 MG Oral Capsule [Symbyax]
19102555,antipsych,PO,olanzapine,fluoxetine 50 MG / olanzapine 6 MG Oral Capsule
19127042,antipsych,PO,olanzapine,fluoxetine 50 MG / olanzapine 6 MG Oral Capsule [Symbyax]
756018,antipsych,PO,fluphenazine,fluphenazine
19109997,antipsych,PO,fluphenazine,fluphenazine 25 MG
43032392,antipsych,IV,fluphenazine,Fluphenazine 25 MG Injectable Solution
40165599,antipsych,IV,fluphenazine,fluphenazine decanoate 25 MG/ML Injectable Solution
19004698,antipsych,IV,fluphenazine,fluphenazine decanoate 25 MG/ML Injectable Solution [Decazate]
40165600,antipsych,IV,fluphenazine,fluphenazine decanoate 25 MG/ML Injectable Solution [Prolixin]
40166666,antipsych,PO,fluphenazine,fluphenazine enanthate 25 MG/ML [Prolixin]
40166665,antipsych,IV,fluphenazine,fluphenazine enanthate 25 MG/ML Injectable Solution [Prolixin]
40165803,antipsych,PO,fluphenazine,fluphenazine hydrochloride 0.5 MG/ML [Prolixin]
40165801,antipsych,PO,fluphenazine,fluphenazine hydrochloride 0.5 MG/ML Oral Solution
40165802,antipsych,PO,fluphenazine,fluphenazine hydrochloride 0.5 MG/ML Oral Solution [Prolixin]
40166643,antipsych,PO,fluphenazine,fluphenazine hydrochloride 1 MG [Prolixin]
40166641,antipsych,PO,fluphenazine,fluphenazine hydrochloride 1 MG Oral Tablet
19011575,antipsych,PO,fluphenazine,fluphenazine hydrochloride 1 MG Oral Tablet [Moditen]
40166642,antipsych,PO,fluphenazine,fluphenazine hydrochloride 1 MG Oral Tablet [Prolixin]
40165807,antipsych,PO,fluphenazine,fluphenazine hydrochloride 10 MG [Prolixin]
40165805,antipsych,PO,fluphenazine,fluphenazine hydrochloride 10 MG Oral Tablet
40166646,antipsych,PO,fluphenazine,fluphenazine hydrochloride 10 MG Oral Tablet [Permitil]
40165806,antipsych,PO,fluphenazine,fluphenazine hydrochloride 10 MG Oral Tablet [Prolixin]
40166648,antipsych,PO,fluphenazine,fluphenazine hydrochloride 2.5 MG
40166650,antipsych,PO,fluphenazine,fluphenazine hydrochloride 2.5 MG Oral Tablet
19011576,antipsych,PO,fluphenazine,fluphenazine hydrochloride 2.5 MG Oral Tablet [Moditen]
40166652,antipsych,PO,fluphenazine,fluphenazine hydrochloride 2.5 MG Oral Tablet [Prolixin]
40166656,antipsych,IV,fluphenazine,fluphenazine hydrochloride 2.5 MG/ML Injectable Solution
40166657,antipsych,IV,fluphenazine,fluphenazine hydrochloride 2.5 MG/ML Injectable Solution [Prolixin]
40165808,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG
40165811,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG [Prolixin]
40165809,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG Oral Tablet
19011577,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG Oral Tablet [Moditen]
40166659,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG Oral Tablet [Permitil]
40165810,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG Oral Tablet [Prolixin]
40165813,antipsych,PO,fluphenazine,fluphenazine hydrochloride 5 MG/ML Oral Solution
40037339,antipsych,IV,fluphenazine,fluphenazine Injectable Solution [Prolixin]
40037342,antipsych,PO,fluphenazine,fluphenazine Oral Solution [Prolixin]
766529,antipsych,PO,haloperidol,haloperidol
19077928,antipsych,PO,haloperidol,haloperidol 0.5 MG Oral Tablet
19011449,antipsych,PO,haloperidol,haloperidol 0.5 MG Oral Tablet [Fortunan]
19030539,antipsych,PO,haloperidol,haloperidol 0.5 MG Oral Tablet [Haldol]
19081392,antipsych,PO,haloperidol,haloperidol 1 MG
19077929,antipsych,PO,haloperidol,haloperidol 1 MG Oral Tablet
19030602,antipsych,PO,haloperidol,haloperidol 1 MG Oral Tablet [Haldol]
19077941,antipsych,PO,haloperidol,haloperidol 1 MG/ML Oral Solution
19088113,antipsych,PO,haloperidol,haloperidol 1.5 MG
19080061,antipsych,PO,haloperidol,haloperidol 10 MG Oral Tablet
19024330,antipsych,PO,haloperidol,haloperidol 10 MG Oral Tablet [Haldol]
19016227,antipsych,PO,haloperidol,haloperidol 10 MG Oral Tablet [Kentace]
19004584,antipsych,PO,haloperidol,haloperidol 10 MG Oral Tablet [Serenace]
19111794,antipsych,PO,haloperidol,haloperidol 150 MG/ML
19081394,antipsych,PO,haloperidol,haloperidol 2 MG
19021820,antipsych,PO,haloperidol,haloperidol 2 MG [Haldol]
19080040,antipsych,PO,haloperidol,haloperidol 2 MG Oral Tablet
19030682,antipsych,PO,haloperidol,haloperidol 2 MG Oral Tablet [Haldol]
766530,antipsych,PO,haloperidol,haloperidol 2 MG/ML Oral Solution
19031152,antipsych,PO,haloperidol,haloperidol 2 MG/ML Oral Solution [Haldol]
766531,antipsych,PO,haloperidol,haloperidol 20 MG Oral Tablet
19030798,antipsych,PO,haloperidol,haloperidol 20 MG Oral Tablet [Haldol]
19004585,antipsych,PO,haloperidol,haloperidol 20 MG Oral Tablet [Serenace]
19081397,antipsych,PO,haloperidol,haloperidol 5 MG
19021815,antipsych,PO,haloperidol,haloperidol 5 MG [Haldol]
19077930,antipsych,PO,haloperidol,haloperidol 5 MG Oral Tablet
19024327,antipsych,PO,haloperidol,haloperidol 5 MG Oral Tablet [Fortunan]
19024328,antipsych,PO,haloperidol,haloperidol 5 MG Oral Tablet [Haldol]
19016226,antipsych,PO,haloperidol,haloperidol 5 MG Oral Tablet [Kentace]
19004583,antipsych,PO,haloperidol,haloperidol 5 MG Oral Tablet [Serenace]
19027427,antipsych,IV,haloperidol,haloperidol 5 MG/ML Injectable Solution
35603239,antipsych,IV,haloperidol,haloperidol 5 MG/ML Injection
35603244,antipsych,IV,haloperidol,haloperidol 5 MG/ML Injection [Haldol]
40726456,antipsych,IV,haloperidol,Haloperidol 50 MG/ML Injectable Solution [Haldol]
40165560,antipsych,PO,haloperidol,haloperidol decanoate 100 MG/ML
40165563,antipsych,PO,haloperidol,haloperidol decanoate 100 MG/ML [Haldol]
40165561,antipsych,IV,haloperidol,haloperidol decanoate 100 MG/ML Injectable Solution
35603090,antipsych,IV,haloperidol,haloperidol decanoate 100 MG/ML Injection
40165564,antipsych,PO,haloperidol,haloperidol decanoate 50 MG/ML
40165567,antipsych,PO,haloperidol,haloperidol decanoate 50 MG/ML [Haldol]
40165565,antipsych,IV,haloperidol,haloperidol decanoate 50 MG/ML Injectable Solution
35603094,antipsych,IV,haloperidol,haloperidol decanoate 50 MG/ML Injection
35603237,antipsych,IV,haloperidol,haloperidol Injection
35603242,antipsych,IV,haloperidol,haloperidol Injection [Haldol]
40046616,antipsych,PO,haloperidol,haloperidol Oral Tablet
19017241,antipsych,PO,iloperidone,iloperidone
19048279,antipsych,PO,iloperidone,iloperidone 1 MG Oral Tablet
19048301,antipsych,PO,iloperidone,iloperidone 1 MG Oral Tablet [Fanapt]
19135463,antipsych,PO,iloperidone,iloperidone 10 MG Oral Tablet [Fanapt]
19048305,antipsych,PO,iloperidone,iloperidone 12 MG Oral Tablet
19048308,antipsych,PO,iloperidone,iloperidone 2 MG Oral Tablet
19048310,antipsych,PO,iloperidone,iloperidone 2 MG Oral Tablet [Fanapt]
19135464,antipsych,PO,iloperidone,iloperidone 4 MG Oral Tablet
19048333,antipsych,PO,iloperidone,iloperidone 4 MG Oral Tablet [Fanapt]
19048334,antipsych,PO,iloperidone,iloperidone 6 MG Oral Tablet
19048336,antipsych,PO,iloperidone,iloperidone 6 MG Oral Tablet [Fanapt]
19048337,antipsych,PO,iloperidone,iloperidone 8 MG Oral Tablet
19135465,antipsych,PO,iloperidone,iloperidone 8 MG Oral Tablet [Fanapt]
19124477,antipsych,PO,lithium,lithium
792263,antipsych,PO,loxapine,loxapine
19045813,antipsych,PO,loxapine,loxapine 10 MG [Loxitane]
19080130,antipsych,PO,loxapine,loxapine 10 MG Oral Capsule
19004667,antipsych,PO,loxapine,loxapine 10 MG Oral Capsule [Loxapac]
19031882,antipsych,PO,loxapine,loxapine 10 MG Oral Capsule [Loxitane]
792301,antipsych,PO,loxapine,loxapine 25 MG
792295,antipsych,PO,loxapine,loxapine 25 MG Oral Capsule
19004668,antipsych,PO,loxapine,loxapine 25 MG Oral Capsule [Loxapac]
19031886,antipsych,PO,loxapine,loxapine 25 MG Oral Capsule [Loxitane]
792299,antipsych,PO,loxapine,loxapine 25 MG/ML Oral Solution
792296,antipsych,PO,loxapine,loxapine 5 MG Oral Capsule
19031881,antipsych,PO,loxapine,loxapine 5 MG Oral Capsule [Loxitane]
19080127,antipsych,PO,loxapine,loxapine 50 MG Oral Capsule
